txn_id,amount,upi_gps_lat,upi_gps_long,telecom_cell_lat,telecom_cell_long,timestamp,target_atm_id,GEO_DISTANCE_KM,IMPLIED_SPEED_KMH,FRAUD_ALERT,THREAT_LEVEL
TXN100481,30051.69,18.499748,73.864525,19.483979,70.525626,2026-08-03 20:42:10,ATM-PN-0001,367.71,11031.36,True,CRITICAL
TXN100152,13234.61,18.499181,73.862732,18.497058,73.863323,2026-08-03 20:53:46,ATM-PN-0012,0.24,7.32,False,NORMAL
TXN100932,16936.3,18.533757,73.848759,18.529206,73.835758,2026-08-03 21:34:15,ATM-PN-0041,1.46,43.83,False,NORMAL
TXN100453,40107.99,18.520589,73.866892,18.51969,73.863898,2026-08-03 22:12:01,ATM-PN-0027,0.33,9.93,False,NORMAL
TXN100262,21751.57,18.539458,73.846148,18.533267,73.857188,2026-08-03 22:44:28,ATM-PN-0034,1.35,40.57,False,NORMAL
TXN100988,9391.83,18.504138,73.865091,18.505419,73.86487,2026-08-03 23:13:07,ATM-PN-0004,0.14,4.33,False,NORMAL
TXN100844,44704.05,18.529335,73.888065,18.530169,73.889163,2026-08-03 23:20:50,ATM-PN-0017,0.15,4.45,False,NORMAL
TXN100137,2062.74,18.520251,73.848229,17.943925,72.541119,2026-08-04 00:00:39,ATM-PN-0045,152.2,4565.88,True,CRITICAL
TXN100364,13449.84,18.544621,73.882702,18.549949,73.884372,2026-08-04 00:21:39,ATM-PN-0021,0.62,18.54,False,NORMAL
TXN100521,38804.34,18.518032,73.855956,18.516882,73.855942,2026-08-04 02:41:24,ATM-PN-0009,0.13,3.84,False,NORMAL
TXN100586,11577.83,18.506708,73.854076,18.50743,73.860664,2026-08-04 03:05:57,ATM-PN-0040,0.7,20.98,False,NORMAL
TXN100027,42740.11,18.522265,73.856442,18.526347,73.856425,2026-08-04 03:48:05,ATM-PN-0007,0.45,13.62,False,NORMAL
TXN100198,14029.69,18.514643,73.852545,18.524916,73.854585,2026-08-04 04:36:28,ATM-PN-0029,1.16,34.87,False,NORMAL
TXN100339,45029.76,18.513585,73.840806,18.525239,73.836548,2026-08-04 05:20:40,ATM-PN-0042,1.37,41.14,False,NORMAL
TXN100318,29602.74,18.501066,73.843445,18.504409,73.848183,2026-08-04 07:04:59,ATM-PN-0049,0.62,18.68,False,NORMAL
TXN100373,18079.38,18.511084,73.874637,18.519987,73.874767,2026-08-04 07:29:45,ATM-PN-0041,0.99,29.7,False,NORMAL
TXN100726,5318.83,18.513824,73.877284,18.50729,73.887955,2026-08-04 08:03:24,ATM-PN-0023,1.34,40.18,False,NORMAL
TXN100127,25519.5,18.505375,73.859809,18.50567,73.859698,2026-08-04 09:36:22,ATM-PN-0016,0.03,1.04,False,NORMAL
TXN100792,30293.43,18.520352,73.855398,18.531822,73.852758,2026-08-04 10:31:12,ATM-PN-0032,1.31,39.16,False,NORMAL
TXN100683,42547.84,18.515953,73.8484,18.518241,73.849799,2026-08-04 10:58:14,ATM-PN-0044,0.29,8.82,False,NORMAL
TXN100957,11022.38,18.519365,73.860595,18.518006,73.859952,2026-08-04 12:09:42,ATM-PN-0013,0.17,4.97,False,NORMAL
TXN100781,8565.56,18.530882,73.860067,18.531605,73.85905,2026-08-04 12:42:50,ATM-PN-0050,0.13,4.02,False,NORMAL
TXN100250,6596.28,18.502677,73.843342,20.878754,76.872594,2026-08-04 13:25:26,ATM-PN-0047,412.75,12382.48,True,CRITICAL
TXN100738,10576.12,18.513006,73.879025,18.523318,73.883684,2026-08-04 16:19:11,ATM-PN-0027,1.25,37.42,False,NORMAL
TXN100632,38142.43,18.506153,73.831256,18.508645,73.827183,2026-08-04 18:48:47,ATM-PN-0019,0.51,15.33,False,NORMAL
TXN100156,25374.76,18.514595,73.839659,18.51116,73.842107,2026-08-04 18:55:19,ATM-PN-0046,0.46,13.83,False,NORMAL
TXN100582,30856.51,18.524505,73.870298,18.527487,73.871808,2026-08-04 18:59:10,ATM-PN-0022,0.37,11.03,False,NORMAL
TXN100642,27893.68,18.512884,73.872113,18.511026,73.86653,2026-08-04 19:58:27,ATM-PN-0029,0.62,18.72,False,NORMAL
TXN100896,9388.5,18.510359,73.855499,18.507193,73.858543,2026-08-04 20:24:00,ATM-PN-0015,0.48,14.29,False,NORMAL
